cd,nm,gb
A003260,서광,701
A294630,서남,701
A038070,서린바이오,701
A006730,서부T&D,701
A079650,서산,701
A100660,서암기계공업,701
A007860,서연,701
A200880,서연이화,701
A019770,서연탑메탈,701
A017390,서울가스,701
A279000,서울개인택시복지법인,701
A043710,서울리거,701
A092190,서울바이오시스,701
A046890,서울반도체,701
A004410,서울식품,701
A063170,서울옥션,701
A027040,서울전자통신,701
A018680,서울제약,701
A021050,서원,701
A093920,서원인텍,701
A189860,서전기전,701
A178320,서진시스템,701
A122690,서진오토모티브,701
A140070,서플러스글로벌,701
A011370,서한,701
A065710,서호전기,701
A008490,서흥,701
A035890,서희건설,701
A357550,석경에이티,701
A003100,선광,701
A123420,선데이토즈,701
A007610,선도전기,701
A067370,선바이오,701
A171090,선익시스템,701
A136490,선진,701
A086710,선진뷰티사이언스,701
A014620,성광벤드,701
A037350,성도이엔지,701
A014910,성문전자,701
A003080,성보화학,701
A004980,성신양회,701
A011300,성안,701
A081580,성우전자,701
A045300,성우테크론,701
A015750,성우하이텍,701
A015200,성원,701
A000180,성창기업지주,701
A080470,성창오토텍,701
A043260,성호전자,701
A148150,세경하이테크,701
A002420,세기상사,701
A053060,세동,701
A340440,세림B&G,701
A042380,세메스,701
A017510,세명전기,701
A004360,세방,701
A004490,세방전지,701
A011560,세보엠이씨,701
A001430,세아베스틸,701
A306200,세아제강,701
A003030,세아제강지주,701
A019440,세아특수강,701
A058650,세아홀딩스,701
A052190,세영디앤씨,701
A013000,세우글로벌,701
A100700,세운메디칼,701
A234100,세원,701
A024830,세원물산,701
A091090,세원이앤씨,701
A021820,세원정공,701
A067830,세이브존I&C,701
A033530,세종공업,701
A258830,세종메디칼,701
A036630,세종텔레콤,701
A039310,세중,701
A075580,세진중공업,701
A067770,세진티에스,701
A053450,세코닉스,701
A234340,세틀뱅크,701
A027970,세하,701
A252500,세화피앤씨,701
A347000,센코,701
A300090,센코어테크,701
A308170,센트랄모텍,701
A012600,센트럴인사이트,701
A331920,셀레믹스,701
A049180,셀루메드,701
A299660,셀리드,701
A268600,셀리버리,701
A108860,셀바스AI,701
A208370,셀바스헬스케어,701
A179690,셀인바이오,701
A258250,셀젠텍,701
A068270,셀트리온,701
A068760,셀트리온제약,701
A091990,셀트리온헬스케어,701
A290690,소룩스,701
A053110,소리바다,701
A950200,소마젠,701
A032680,소프트센,701
A258790,소프트캠프,701
A066910,손오공,701
A043100,솔고바이오,701
A336370,솔루스첨단소재,701
A154040,솔루에타,701
A248070,솔루엠,701
A035610,솔본,701
A357780,솔브레인,701
A036830,솔브레인홀딩스,701
A304100,솔트룩스,701
A004430,송원산업,701
A086980,쇼박스,701
A050960,수산아이앤티,701
A017550,수산중공업,701
A084180,수성이노베이션,701
A253840,수젠텍,701
A185190,수프로,701
A236200,슈프리마,701
A317770,슈프리마아이디,701
A094840,슈프리마에이치큐,701
A192440,슈피겐코리아,701
A268030,스마트골프,701
A099440,스맥,701
A053210,스카이라이프,701
A033790,스카이문스테크놀로지,701
A131100,스카이이앤엠,701
A276040,스코넥,701
A159910,스킨앤스킨,701
A115570,스타플렉스,701
A258540,스템랩,701
A330730,스톤브릿지벤처스,701
A253450,스튜디오드래곤,701
A204630,스튜디오산타클로스,701
A026890,스틱인베스트먼트,701
A013810,스페코,701
A227580,스포라이브,701
A039670,스포츠서울,701
A049830,승일,701
A020710,시공테크,701
A033170,시그네틱스,701
A260870,시그넷이브이,701
A048870,시너지이노베이션,701
A025320,시노펙스,701
A134790,시디즈,701
A269620,시스웍,701
A131090,시큐브,701
A232830,시큐센,701
A066290,시큐아이,701
A139050,시티랩스,701
A016590,신대양제지,701
A290520,신도기연,701
A029530,신도리코,701
A004970,신라교역,701
A001000,신라섬유,701
A025870,신라에스지,701
A215600,신라젠,701
A070480,신비앤텍,701
A065350,신성델타테크,701
A011930,신성이엔지,701
A005390,신성통상,701
A004170,신세계,701
A035510,신세계 I&C,701
A034300,신세계건설,701
A031430,신세계인터내셔날,701
A012580,신세계톰보이,701
A031440,신세계푸드,701
A006880,신송홀딩스,701
A002800,신신제약,701
A002470,신영건설,701
A323280,신영스팩5호,701
A344050,신영스팩6호,701
A005800,신영와코루,701
A001720,신영증권,701
A009270,신원,701
A017000,신원종합개발,701
A002700,신일전자,701
A012790,신일제약,701
A138070,신진에스엠,701
A226330,신테카바이오,701
A019170,신풍제약,701
A002870,신풍제지,701
A333050,신한제6호스팩,701
A366330,신한제7호스팩,701
A393360,신한제8호스팩,701
A055550,신한지주,701
A056700,신화인터텍,701
A187270,신화콘텍,701
A004080,신흥,701
A243840,신흥에스이씨,701
A376910,실력산업,701
A257720,실리콘투,701
A222800,심텍,701
A036710,심텍홀딩스,701
A160980,싸이맥스,701
A356890,싸이버원,701
A217330,싸이토젠,701
A102280,쌍방울,701
A003410,쌍용C&E,701
A010280,쌍용정보통신,701
A003620,쌍용차,701
A004770,써니전자,701
A217320,썬테크,701
A208640,썸에이지,701
A222420,쎄노텍,701
A037760,쎄니트,701
A099320,쎄트렉아이,701
A015540,쎌마테라퓨틱스,701
A049960,쎌바이오텍,701
A050890,쏠리드,701
A073960,씨브이네트,701
A066790,씨씨에스,701
A222080,씨아이에스,701
A004920,씨아이테크,701
A236030,씨알푸드,701
A103660,씨앗,701
A352480,씨앤씨인터내셔널,701
A245450,씨앤에스링크,701
A032040,씨앤에스자산관리,701
A264660,씨앤지하이테크,701
A352700,씨앤투스성진,701
A297090,씨에스베어링,701
A112610,씨에스윈드,701
A359090,씨엔알리서치,701
A286000,씨엔티드림,701
A115530,씨엔플러스,701
A037340,씨엘인터내셔널,701
A225330,씨엠에스에듀,701
A115480,씨유메디칼,701
A376290,씨유테크,701
A189330,씨이랩,701
A096530,씨젠,701
A900120,씨케이에이치,701
A101240,씨큐브,701
A060590,씨티씨바이오,701
A260930,씨티케이,701
A041710,씽크풀,701
A013990,아가방컴퍼니,701
A123860,아나패스,701
A025980,아난티,701
A008700,아남전자,701
A050320,아래스,701
A192230,아리바이오,701
A058220,아리온,701
A125210,아모그린텍,701
A002790,아모레G,701
A090430,아모레퍼시픽,701
A357580,아모센스,701
A052710,아모텍,701
A074430,아미노로직스,701
A092040,아미코젠,701
A083930,아바코,701
A149950,아바텍,701
A036010,아비코전자,701
A002030,아세아,701
A183190,아세아시멘트,701
A002310,아세아제지,701
A050860,아세아텍,701
A012170,아센디오,701
A136410,아셈스,701
A246720,아스타,701
A067390,아스트,701
A159010,아스플로,701
A127710,아시아경제,701
A267850,아시아나IDT,701
A020560,아시아나항공,701
A154030,아시아종묘,701
A227610,아우딘퓨쳐스,701
A143160,아이디스,701
A031690,아이디스파워텔,701
A054800,아이디스홀딩스,701
A332370,아이디피,701
A122900,아이마켓코리아,701
A339950,아이비김영,701
A405350,아이비케이에스제17호스팩,701
A099190,아이센스,701
A289010,아이스크림에듀,701
A214430,아이쓰리시스템,701
A040910,아이씨디,701
A068940,아이씨케이,701
A052860,아이앤씨,701
A010780,아이에스동서,701
A069920,아이에스이커머스,701
A038880,아이에이,701
A293290,아이엔오기술,701
A307180,아이엘사이언스,701
A101390,아이엠,701
A078860,아이오케이,701
A114810,아이원스,701
A323530,아이월드제약,701
A090150,아이윈,701
A031310,아이즈비전,701
A185490,아이진,701
A059100,아이컴포넌트,701
A149010,아이케이세미콘,701
A262840,아이퀘스트,701
A175250,아이큐어,701
A052460,아이크래프트,701
A119830,아이텍,701
A052770,아이톡시,701
A124500,아이티센,701
A372800,아이티아이즈,701
A084850,아이티엠반도체,701
A114840,아이패밀리에스씨,701
A027360,아주IB투자,701
A139990,아주스틸,701
A049410,아주엠씨엠,701
A032080,아즈텍WB,701
A013310,아진산업,701
A059120,아진엑스텍,701
A011400,아진카인텍,701
A158430,아톤,701
A149300,아퓨어스,701
A067160,아프리카TV,701
A102950,아하,701
A043720,안국바이오진단,701
A001540,안국약품,701
A053800,안랩,701
A251280,안지오랩,701
A065660,안트로젠,701
A297570,알로이스,701
A001780,알루코,701
A260660,알리코제약,701
A361570,알비더블유,701
A131370,알서포트,701
A140670,알에스오토메이션,701
A096610,알에프세미,701
A061040,알에프텍,701
A148250,알엔투테크놀로지,701
A347860,알체라,701
A196170,알테오젠,701
A123750,알톤스포츠,701
A085810,알티캐스트,701
A117670,알파홀딩스,701
A291650,압타머사이언스,701
A293780,압타바이오,701
A267810,앙츠,701
A018250,애경산업,701
A161000,애경케미칼,701
A196300,애니젠,701
A310200,애니플러스,701
A179530,애드바이오텍,701
A900100,애머릿지,701
A205500,액션스퀘어,701
A052790,액토즈소프트,701
A290740,액트로,701
A238090,앤디포스,701
A092600,앤씨앤,701
A129050,앤알커뮤니,701
A129890,앱코,701
A174900,앱클론,701
A255440,야스,701
A060230,얍엑스,701
A030960,양지사,701
A102120,어보브반도체,701
A238120,얼라인드,701
A224810,엄지하우스,701
A019990,에너토크,701
A011090,에넥스,701
A224850,에듀타운,701
A136510,에디슨EV,701
A270660,에브리봇,701
A038680,에스넷,701
A137310,에스디바이오센서,701
A217480,에스디생명공학,701
A121890,에스디시스템,701
A097780,에스맥,701
A042110,에스씨디,701
A298060,에스씨엠생명과학,701
A065420,에스아이리소스,701
A270210,에스알바이오텍,701
A103230,에스앤더블류,701
A260970,에스앤디,701
A101490,에스앤에스텍,701
A095910,에스에너지,701
A275630,에스에스알,701
A031330,에스에이엠티,701
A060540,에스에이티,701
A351320,에스에이티이엔지,701
A056190,에스에프에이,701
A080000,에스엔유,701
A086460,에스엔피제네틱스,701
A005850,에스엘,701
A214310,에스엘바이오닉스,701
A246250,에스엘에스바이오,701
A041510,에스엠,701
A299670,에스엠비나,701
A076710,에스엠상선,701
A007820,에스엠코어,701
A109610,에스와이,701
A012750,에스원,701
A306040,에스제이그룹,701
A217910,에스제이켐,701
A224020,에스케이씨에스,701
A408920,에스케이증권7호스팩,701
A096630,에스코넥,701
A114290,에스코어,701
A069510,에스텍,701
A041910,에스텍파마,701
A234300,에스트래픽,701
A039440,에스티아이,701
A098660,에스티오,701
A052020,에스티큐브,701
A237690,에스티팜,701
A050760,에스폴리텍,701
A288620,에스퓨얼셀,701
A036150,에스피반도체,701
A317830,에스피시스템스,701
A058610,에스피지,701
A043340,에쎈테크,701
A023960,에쓰씨엔지니어링,701
A037890,에어미디어,701
A298690,에어부산,701
A187660,에이디엠코리아,701
A054630,에이디칩스,701
A200710,에이디테크놀로지,701
A096690,에이루트,701
A078520,에이블씨엔씨,701
A298380,에이비엘바이오,701
A203400,에이비온,701
A195990,에이비프로바이오,701
A003800,에이스침대,701
A088800,에이스테크,701
A241840,에이스토리,701
A312610,에이에프더블류,701
A015260,에이엔피,701
A234070,에이원알폼,701
A001890,에이치디씨영창,701
A072990,에이치시티,701
A227100,에이치앤비디자인,701
A044990,에이치엔에스하이텍,701
A176440,에이치엔티,701
A043220,에이치엘비파워,701
A239610,에이치엘사이언스,701
A353070,에이치엠씨제4호스팩,701
A353060,에이치엠씨제5호스팩,701
A044780,에이치케이,701
A357230,에이치피오,701
A071670,에이테크솔루션,701
A045660,에이텍,701
A224110,에이텍티앤,701
A230980,에이트원,701
A021080,에이티넘인베스트,701
A089530,에이티세미콘,701
A200470,에이팩트,701
A207490,에이펙스인텍,701
A262260,에이프로,701
A109960,에이프로젠 H&G,701
A007460,에이프로젠 MED,701
A003060,에이프로젠제약,701
A141110,에이플러스라이프,701
A244920,에이플러스에셋,701
A089970,에이피티씨,701
A230240,에치에프알,701
A230360,에코마케팅,701
A038870,에코바이오,701
A128540,에코캡,701
A086520,에코프로,701
A247540,에코프로비엠,701
A383310,에코프로에이치엔,701
A038110,에코플라스틱,701
A073540,에프알텍,701
A064850,에프앤가이드,701
A064090,에프앤리퍼블릭,701
A036810,에프에스티,701
A173940,에프엔씨엔터,701
A083500,에프엔에스테크,701
A054940,엑사이엔씨,701
A950130,엑세스바이오,701
A205100,엑셈,701
A070300,엑스큐어,701
A092870,엑시콘,701
A261720,엑심베이,701
A317870,엔바이오니아,701
A067570,엔브이에이치코리아,701
A236810,엔비티,701
A140610,엔솔바이오사이언스,701
A333620,엔시스,701
A101400,엔시트론,701
A036570,엔씨소프트,701
A217820,엔에스,701
A138250,엔에스쇼핑,701
A031860,엔에스엔,701
A238170,엔에스엠,701
A224760,엔에스컴퍼니,701
A365590,엔에이치스팩18호,701
A380440,엔에이치스팩19호,701
A391060,엔에이치스팩20호,701
A391710,엔에이치스팩21호,701
A396770,엔에이치스팩22호,701
A265740,엔에프씨,701
A354200,엔젠바이오,701
A093510,엔지브이아이,701
A208860,엔지스테크널러지,701
A183490,엔지켐생명과학,701
A085310,엔케이,701
A182400,엔케이맥스,701
A348370,엔켐,701
A068420,엔터미디어,701
A069410,엔텔스,701
A227950,엔투텍,701
A291230,엔피,701
A198080,엔피디,701
A048830,엔피케이,701
A096870,엘디티,701
A276240,엘리비젼,701
A900140,엘브이엠씨홀딩스,701
A376190,엘비루셈,701
A061970,엘비세미콘,701
A138690,엘아이에스,701
A290650,엘앤씨바이오,701
A066970,엘앤에프,701
A156100,엘앤케이바이오,701
A190410,엘에스아이앤디,701
A311060,엘에이티,701
A073110,엘엠에스,701
A083310,엘오티베큠,701
A037950,엘컴텍,701
A011870,엘티삼보,701
A170920,엘티씨,701
A058630,엠게임,701
A058970,엠로,701
A019590,엠벤처투자,701
A169330,엠브레인,701
A008120,엠소닉,701
A097520,엠씨넥스,701
A179290,엠아이텍,701
A225860,엠앤씨생명과학,701
A009780,엠에스씨,701
A123040,엠에스오토텍,701
A323230,엠에프엠코리아,701
A046290,엠캐피탈,701
A033160,엠케이전자,701
A206300,엠텍비젼,701
A347890,엠투아이,701
A033310,엠투엔,701
A184560,엠파크홀딩스,701
A259630,엠플러스,701
A065150,엠피대산,701
A115960,연우,701
A090740,연이비앤티,701
A060850,영림원소프트랩,701
A014440,영보화학,701
A007530,영신금속,701
A143540,영우디에스피,701
A111770,영원무역,701
A009970,영원무역홀딩스,701
A003520,영진약품,701
A000670,영풍,701
A036560,영풍정밀,701
A006740,영풍제지,701
A012280,영화금속,701
A265560,영화테크,701
A012160,영흥,701
A036000,예림당,701
A250930,예선테크,701
A053280,예스24,701
A015360,예스코홀딩스,701
A122640,예스티,701
A403360,예스피치,701
A900300,오가닉티코스메틱,701
A045060,오공,701
A080520,오디텍,701
A007310,오뚜기,701
A039830,오로라,701
A322310,오로스테크놀로지,701
A046120,오르비텍,701
A014940,오리엔탈정공,701
A002630,오리엔트바이오,701
A038520,오리엔트전자,701
A065500,오리엔트정공,701
A271560,오리온,701
A001800,오리온홀딩스,701
A010470,오리콤,701
A352910,오비고,701
A053980,오상자이엘,701
A036220,오상헬스케어,701
A052420,오성첨단소재,701
A241790,오션브릿지,701
A329020,오션스톤,701
A039200,오스코텍,701
A226400,오스테오닉,701
A031510,오스템,701
A048260,오스템임플란트,701
A138080,오이솔루션,701
A080580,오킨스전자,701
A067170,오텍,701
A353590,오토앤,701
A173130,오파스넷,701
A049480,오픈베이스,701
A309930,오하임아이엔티,701
A244460,올리패스,701
A226950,올릭스,701
A057540,옴니시스템,701
A082210,옵트론텍,701
A109080,옵티시스,701
A153710,옵티팜,701
A321820,와이더플래닛,701
A114750,와이디생명과학,701
A122990,와이솔,701
A232140,와이아이케이,701
A065530,와이어블,701
A067900,와이엔텍,701
A155650,와이엠씨,701
A273640,와이엠텍,701
A251370,와이엠티,701
A066430,와이오엠,701
A193250,와이제이엠게임즈,701
A273060,와이즈버즈,701
A019210,와이지-원,701
A122870,와이지엔터테인먼트,701
A011690,와이투솔루션,701
A332570,와이팜,701
A079000,와토스코리아,701
A110030,완도전복,701
A070960,용평리조트,701
A316140,우리금융지주,701
A032820,우리기술,701
A041190,우리기술투자,701
A115440,우리넷,701
A118000,우리들휴브레인,701
A046970,우리로,701
A082850,우리바이오,701
A215360,우리산업,701
A072470,우리산업홀딩스,701
A073560,우리손에프앤지,701
A153490,우리이앤엘,701
A037400,우리조명,701
A010050,우리종금,701
A101170,우림피티에스,701
A006980,우성,701
A066590,우수AMS,701
A017370,우신시스템,701
A103840,우양,701
A101970,우양에이치씨,701
A046940,우원개발,701
A215380,우정바이오,701
A065680,우주일렉트로,701
A105840,우진,701
A018620,우진비앤지,701
A010400,우진아이엔에스,701
A049800,우진플라임,701
A016880,웅진,701
A095720,웅진씽크빅,701
A005820,원림,701
A307280,원바이오젠,701
A053080,원방테크,701
A032940,원익,701
A240810,원익IPS,701
A074600,원익QnC,701
A104830,원익머트리얼즈,701
A014190,원익큐브,701
A131390,원익피앤이,701
A030530,원익홀딩스,701
A012620,원일특강,701
A382840,원준,701
A216280,원텍,701
A376980,원티드랩,701
A122830,원포유,701
A008370,원풍,701
A008290,원풍물산,701
A101160,월덱스,701
A095270,웨이브일렉트로,701
A010600,웰바이오텍,701
A065950,웰크론,701
A076080,웰크론한텍,701
A196700,웹스,701
A069080,웹젠,701
A053580,웹케시,701
A071460,위니아딤채,701
A044340,위닉스,701
A330350,위더스제약,701
A348350,위드텍,701
A112040,위메이드,701
A101730,위메이드맥스,701
A065370,위세아이텍,701
A140660,위월드,701
A038620,위즈코프,701
A299900,위지윅스튜디오,701
A036090,위지트,701
A136540,윈스,701
A320000,윈텍,701
A097800,윈팩,701
A192390,윈하이텍,701
A313760,윌링스,701
A008600,윌비스,701
A900340,윙입푸드,701
A033270,유나이티드제약,701
A064510,유네코,701
A014830,유니드,701
A036200,유니셈,701
A018000,유니슨,701
A000910,유니온,701
A047400,유니온머티리얼,701
A203450,유니온커뮤니티,701
A011330,유니켐,701
A077500,유니퀘스트,701
A011320,유니크,701
A086390,유니테스트,701
A241690,유니테크노,701
A063180,유니텍,701
A142210,유니트론텍,701
A121060,유니포인트,701
A048430,유라테크,701
A206650,유바이오로직스,701
A089850,유비벨록스,701
A084440,유비온,701
A032620,유비케어,701
A264450,유비쿼스,701
A078070,유비쿼스홀딩스,701
A002920,유성기업,701
A024800,유성티엔에스,701
A000700,유수홀딩스,701
A054930,유신,701
A069330,유아이디,701
A049520,유아이엘,701
A336060,유안타제5호스팩,701
A367460,유안타제7호스팩,701
A367480,유안타제8호스팩,701
A003470,유안타증권,701
A056090,유앤아이,701
A263770,유에스티,701
A337840,유엑스엔,701
A072130,유엔젤,701
A000220,유유제약,701
A340930,유일에너테크,701
A023410,유진기업,701
A056080,유진로봇,701
A373340,유진스팩6호,701
A388800,유진스팩7호,701
A084370,유진테크,701
A001200,유진투자증권,701
A178780,유테크,701
A221800,유투바이오,701
A179900,유티아이,701
A263050,유틸렉스,701
A000100,유한양행,701
A003460,유화증권,701
A191410,육일씨엔에쓰,701
A008730,율촌화학,701
A072770,율호,701
A008250,이건산업,701
A039020,이건홀딩스,701
A025820,이구산업,701
A067920,이글루시큐리티,701
A044960,이글벳,701
A303530,이노뎁,701
A302430,이노메트리,701
A279060,이노벡스,701
A214320,이노션,701
A073490,이노와이어리스,701
A215790,이노인스트루먼트,701
A344860,이노진,701
A246960,이노테라피,701
A088390,이녹스,701
A272290,이녹스첨단소재,701
A053350,이니텍,701
A258610,이더블유케이,701
A041520,이라이콤,701
A264850,이랜시스,701
A054210,이랜텍,701
A164060,이루다,701
A065440,이루온,701
A139480,이마트,701
A010090,이마트에브리데이,701
A115610,이미지스,701
A349720,이베스트스팩5호,701
A323210,이베스트이안스팩1호,701
A078020,이베스트투자증권,701
A131400,이브이첨단소재,701
A208850,이비테크,701
A351330,이삭엔지니어링,701
A080010,이상네트웍스,701
A379390,이성씨엔아이,701
A086890,이수앱지스,701
A007660,이수페타시스,701
A005950,이수화학,701
A015020,이스타코,701
A047560,이스트소프트,701
A900110,이스트아시아홀딩스,701
A270020,이십일스토어,701
A067010,이씨에스,701
A093230,이아이디,701
A341310,이앤에치,701
A101360,이엔드디,701
A102710,이엔에프테크놀로지,701
A066980,이엔코퍼레이션,701
A074610,이엔플러스,701
A063760,이엘피,701
A123570,이엠넷,701
A083470,이엠앤아이,701
A095190,이엠코리아,701
A091120,이엠텍,701
A232530,이엠티,701
A102460,이연제약,701
A039030,이오테크닉스,701
A294090,이오플로우,701
A088290,이원컴포텍,701
A084680,이월드,701
A181340,이즈미디어,701
A353810,이지바이오,701
A099750,이지케어텍,701
A377330,이지트로닉스,701
A035810,이지홀딩스,701
A160600,이큐셀,701
A092130,이크레더블,701
A096040,이트론,701
A134060,이퓨쳐,701
A001840,이화공영,701
A000760,이화산업,701
A024810,이화전기,701
A381530,인동첨단소재,701
A014990,인디에프,701
A041830,인바디,701
A352940,인바이오,701
A101140,인바이오젠,701
A216400,인바이츠바이오코아,701
A079950,인베니아,701
A277410,인산가,701
A060150,인선이엔티,701
A033230,인성정보,701
A006490,인스코비,701
A037330,인지디스플레,701
A023800,인지컨트롤스,701
A034590,인천도시가스,701
A211050,인카금융서비스,701
A013090,인켈,701
A083640,인콘,701
A216050,인크로스,701
A049070,인탑스,701
A119610,인터로조,701
A017250,인터엠,701
A129260,인터지스,701
A240340,인터코스,701
A035080,인터파크,701
A051370,인터플렉스,701
A064290,인텍플러스,701
A189300,인텔리안테크,701
A150840,인트로메딕,701
A048530,인트론바이오,701
A023810,인팩,701
A175140,인포마크,701
A115310,인포바인,701
A039290,인포뱅크,701
A071200,인피니트헬스케어,701
A016670,인피니티엔티,701
A101930,인화정공,701
A249420,일동제약,701
A000230,일동홀딩스,701
A013360,일성건설,701
A003120,일성신약,701
A333430,일승,701
A068330,일신바이오,701
A003200,일신방직,701
A007110,일신석재,701
A058450,일야,701
A007570,일양약품,701
A008500,일정실업,701
A019540,일지테크,701
A081000,일진다이아,701
A020760,일진디스플,701
A020150,일진머티리얼즈,701
A103590,일진전기,701
A094820,일진파워,701
A271940,일진하이솔루스,701
A015860,일진홀딩스,701
A226320,잇츠한불,701
A950140,잉글우드랩,701
A049550,잉크테크,701
A254120,자비스,701
A043910,자연과환경,701
A234920,자이글,701
A289220,자이언트스텝,701
A317400,자이에스앤디,701
A140310,자일자동차,701
A033240,자화전자,701
A090120,잘만테크,701
A174880,장원테크,701
A049630,재영솔루텍,701
A000950,전방,701
A110020,전진바이오팜,701
A208140,정다운,701
A022220,정산애강,701
A040420,정상제이엘에스,701
A045510,정원엔시스,701
A217190,제너셈,701
A095700,제넥신,701
A072520,제넨바이오,701
A122310,제노레이,701
A361390,제노코,701
A066830,제노텍,701
A187420,제노포커스,701
A225220,제놀루션,701
A123330,제닉,701
A159580,제로투세븐,701
A147830,제룡산업,701
A033100,제룡전기,701
A079370,제우스,701
A054950,제이브이엠,701
A090470,제이스텍,701
A287410,제이시스메디칼,701
A137950,제이씨케미칼,701
A033320,제이씨현시스템,701
A104690,제이앤드,701
A204270,제이앤티씨,701
A194370,제이에스코퍼레이션,701
A026040,제이에스티나,701
A126880,제이엔케이히터,701
A322510,제이엘케이,701
A254160,제이엠멀티,701
A033050,제이엠아이,701
A094970,제이엠티,701
A058420,제이웨이,701
A025620,제이준코스메틱,701
A036420,제이콘텐트리,701
A089790,제이티,701
A030000,제일기획,701
A052670,제일바이오,701
A271980,제일약품,701
A001560,제일연마,701
A199820,제일전기공업,701
A023440,제일제강,701
A038010,제일테크노스,701
A002620,제일파마홀딩스,701
A033480,제주국제컨벤,701
A276730,제주맥주,701
A080220,제주반도체,701
A006220,제주은행,701
A089590,제주항공,701
A216080,제테마,701
A229000,젠큐릭스,701
A248020,젬,701
A082270,젬백스,701
A064800,젬백스링크,701
A041590,젬백스지오,701
A044060,조광ILI,701
A004910,조광페인트,701
A004700,조광피혁,701
A001550,조비,701
A000480,조선내화,701
A120030,조선선재,701
A034940,조아제약,701
A067000,조이시티,701
A065050,조인트리,701
A018470,조일알미늄,701
A002600,조흥,701
A185750,종근당,701
A063160,종근당바이오,701
A001630,종근당홀딩스,701
A033340,좋은사람들,701
A036930,주성엔지니어링,701
A044380,주연테크,701
A239340,줌인터넷,701
A051980,중앙디앤엠,701
A072020,중앙백신,701
A000440,중앙에너비스,701
A078650,지나인제약,701
A228760,지노믹트리,701
A314130,지놈앤컴퍼니,701
A013890,지누스,701
A389030,지니너스,701
A043610,지니뮤직,701
A263860,지니언스,701
A303030,지니틱스,701
A036180,지더블유바이텍,701
A208350,지란지교시큐리티,701
A114570,지스마트글로벌,701
A144510,지씨셀,701
A382480,지아이텍,701
A382800,지앤비에스엔지니어링,701
A299480,지앤이헬스케어,701
A051160,지어소프트,701
A037640,지에스엔텍,701
A166220,지에스엘,701
A053050,지에스이,701
A119850,지엔씨에너지,701
A270520,지엔원에너지,701
A065060,지엔코,701
A204840,지엘팜텍,701
A013870,지엠비코리아,701
A071320,지역난방공사,701
A135160,지오씨,701
A311320,지오엘리먼트,701
A010580,지코,701
A035000,지투알,701
A388050,지투파워,701
A219750,지티지웰니스,701
A088790,진도,701
A018120,진로발효,701
A109820,진매트릭스,701
A086060,진바이오텍,701
A036890,진성티이씨,701
A363250,진시스템,701
A003780,진양산업,701
A007370,진양제약,701
A010640,진양폴리,701
A100250,진양홀딩스,701
A051630,진양화학,701
A272450,진에어,701
A011000,진원생명과학,701
A250030,진코스텍,701
A002780,진흥기업,701
A233990,질경이,701
A085660,차바이오텍,701
A261780,차백신연구소,701
A009310,참엔지니어링,701
A158310,참존글로벌,701
A094850,참좋은여행,701
